Rk,Player,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Awards,Salary
4,Brandon Nimmo,32,652,0.335,113,0.301,0.174,3.8,21.6,7.7,91.8,50.2,23.1,45.8,23.6,0.85,29.7,49.8,20.5,-1.9,-1.20%,12.35,30.1,92.9,25.9,,20250000
7,Brett Baty,25,432,0.336,113,0.304,0.181,4.2,25,7.6,90.5,47,24,50.7,21.2,1.04,31.6,56.9,11.5,-1.1,-0.80%,3.08,29.7,100,29.3,,774000
14,Cedric Mullins,30,143,0.287,71,0.233,0.099,1.4,24.5,11.2,86.5,35.6,22.2,34.4,30,0.55,42.2,41.1,16.7,-0.8,-0.70%,-6.31,36.8,100,50,,8725000
11,Francisco Alvarez,23,277,0.35,126,0.321,0.191,4,26.4,9.7,93.1,54.3,21.4,49.7,23.7,0.99,19.7,58.4,22,-0.6,-0.50%,6.04,25.3,,34.5,,795000
1,Francisco Lindor,31,732,0.359,128,0.288,0.199,4.2,17.9,8.9,90.1,44.7,25,38.1,27.5,0.62,33.7,49.9,16.4,3,2.90%,24.48,38.7,83.8,60,AS,34150000
16,Hayden Senger,28,78,0.19,11,0.255,0.014,0,28.2,3.8,85.9,38.5,26.9,40.4,17.3,0.75,23.1,55.8,21.2,-0.8,-0.60%,-9.53,44.4,,62.5,,760000
17,Jared Young,29,47,0.302,92,0.167,0.302,8.5,34,4.3,84.6,39.3,21.4,28.6,35.7,0.4,39.3,39.3,21.4,0,-0.10%,-0.9,11.1,,33.3,,1150000
6,Jeff McNeil,33,462,0.333,113,0.253,0.168,2.6,11.9,10.6,86.7,32.9,27.1,35.7,28.3,0.56,42,42.9,15.1,0.1,-0.30%,2.94,21.1,100,27.8,,15750000
15,Jesse Winker,31,81,0.305,92,0.3,0.171,1.2,25.9,11.1,89.5,45.1,21.6,37.3,19.6,0.59,47.1,41.2,11.8,-0.4,-0.30%,-3.4,29.2,100,25,,750000
19,José Azócar,29,20,0.302,84,0.294,0,0,5,10,82.9,29.4,41.2,41.2,5.9,0.78,11.8,82.4,5.9,-0.2,-0.10%,-2.1,41.7,100,100,,760000
18,Jose Siri,29,36,0.16,-17,0.133,0.063,0,47.2,11.1,84.9,33.3,6.7,20,66.7,0.25,0,66.7,33.3,-0.3,-0.30%,-5.01,87.5,100,75,,2400000
2,Juan Soto,26,715,0.41,163,0.27,0.262,6,19.2,17.8,93.3,55.4,20.8,44.3,27.5,0.81,34.5,52.8,12.8,5,3.50%,51.58,32.2,90.5,40.3,,61875000
10,Luis Torrens,29,283,0.283,78,0.27,0.119,1.8,19.8,6.7,90.4,48.1,26.7,50,20.9,1.01,21.8,56.8,21.4,-0.9,-1.00%,-2.28,20,100,56.3,,1500000
12,Luisangel Acuña,23,193,0.273,59,0.295,0.04,0,19.2,6.7,85.4,36.2,22,52.5,17.7,1.21,14.2,61,24.8,-1.1,-0.90%,-13.64,38,94.1,62.5,,766000
5,Mark Vientos,25,463,0.31,98,0.277,0.179,3.7,24.8,6.5,91.5,50.6,24.9,41.5,27.2,0.71,24.9,58.5,16.6,-0.4,-0.30%,-2.35,23.1,100,39.3,,788750
3,Pete Alonso,30,709,0.371,142,0.305,0.252,5.4,22.8,8.6,93.5,54.5,25.5,37.6,30.1,0.6,27,50.1,22.9,3.9,3.20%,27.4,23.6,33.3,34,AS,30100000
13,Ronny Mauricio,24,184,0.303,89,0.296,0.143,3.3,29.3,8.2,91.2,43.8,21.1,45.6,22.8,0.84,40.4,45.6,14,-0.8,-0.60%,-9.29,26.5,100,33.3,,766000
9,Starling Marte,36,329,0.331,112,0.318,0.14,2.7,20.7,6.7,85.9,40.8,23.5,46.1,22.2,0.91,26.1,55.7,18.3,-0.6,-0.60%,-5.26,27.2,77.8,39.3,,20750000
8,Tyrone Taylor,31,341,0.276,70,0.286,0.097,0.6,22.3,4.7,85.7,35,31,31.8,23,0.48,33.1,51.5,15.5,-0.7,-0.60%,-10.27,33.3,85.7,65.6,,3025000
