Rk,Player,Age,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Awards,Salary
5,Brandon Nimmo,32,652,10,0,0,3,-5,8,0.8,22,30,2.9,0.505,0.505,2.6,-0.2,27,,20250000
4,Brett Baty,25,432,7,-1,1,7,3,17,1.7,15,32,3.1,0.513,0.511,2.4,1.1,25,,774000
13,Cedric Mullins,30,143,-5,2,1,0,1,-1,-0.1,5,4,0.3,0.497,0.499,0.3,0.1,4,,8725000
6,Francisco Alvarez,23,277,8,0,0,-1,5,12,1.2,9,21,2.1,0.516,0.507,2.2,0.4,22,,795000
2,Francisco Lindor,31,732,24,4,0,-2,10,36,3.6,23,59,5.8,0.523,0.523,6,0.8,61,AS,34150000
20,Hayden Senger,28,78,-8,0,-1,3,2,-4,-0.4,3,-1,-0.2,0.488,0.498,-0.5,0.5,-4,,760000
14,Jared Young,29,47,0,0,0,1,-1,-1,-0.1,2,1,0.1,0.496,0.499,-0.1,0,0,,1150000
7,Jeff McNeil,33,462,7,-1,1,-3,2,5,0.5,16,21,2,0.504,0.503,2.3,-0.1,24,,15750000
19,Jesse Winker,31,81,-1,0,0,0,-2,-3,-0.3,3,0,0,0.49,0.498,0,-0.2,0,,750000
18,José Azócar,29,20,0,0,0,0,0,-1,-0.1,1,0,0,0.495,0.5,0,0,0,,760000
22,Jose Siri,29,36,-5,1,0,-2,0,-6,-0.6,1,-4,-0.5,0.463,0.496,-0.3,-0.2,-2,,2400000
1,Juan Soto,26,715,51,2,0,-7,-5,41,4.1,23,64,6.2,0.526,0.525,7,-1.3,71,,61875000
8,Luis Torrens,29,283,-7,-2,0,9,5,5,0.5,10,14,1.4,0.505,0.503,0.4,1.5,5,,1500000
12,Luisangel Acuña,23,193,-9,3,0,4,2,-1,-0.1,7,6,0.6,0.5,0.5,0.2,0.6,2,,766000
21,Mark Vientos,25,463,-1,-1,-1,-11,-2,-16,-1.7,16,0,-0.2,0.486,0.49,1,-1.4,11,,788750
3,Pete Alonso,30,709,34,-1,-4,-9,-8,12,1.2,23,36,3.4,0.508,0.508,4.4,-1.8,45,AS,30100000
11,Ronny Mauricio,24,184,-2,0,-1,3,1,1,0.1,6,7,0.7,0.502,0.501,0.4,0.4,4,,766000
10,Starling Marte,36,329,4,0,1,2,-7,0,-0.1,11,11,1,0.5,0.5,0.8,-0.5,9,,20750000
9,Tyrone Taylor,31,341,-12,1,0,9,2,1,0.1,12,12,1.2,0.501,0.5,0.2,1.2,3,,3025000
